iter	RMSEWithUncertainty
740	-1.919546145
741	-1.920421881
742	-1.922189119
743	-1.922441536
744	-1.923695619
745	-1.924770113
746	-1.926248019
747	-1.927120078
748	-1.927409249
749	-1.928644276
750	-1.930465606
751	-1.932712608
752	-1.933199103
753	-1.934323735
754	-1.93479866
755	-1.935588195
756	-1.936715922
757	-1.937420222
758	-1.937208596
759	-1.938595817
760	-1.939028627
761	-1.939455482
762	-1.939992967
763	-1.940417989
764	-1.94147415
765	-1.942414613
766	-1.942860357
767	-1.944417422
768	-1.944784875
769	-1.944957081
770	-1.946380541
771	-1.947116347
772	-1.948160875
773	-1.949243872
774	-1.949397151
775	-1.950074021
776	-1.950249465
777	-1.950511359
778	-1.951244482
779	-1.953272565
780	-1.953532163
781	-1.954607872
782	-1.954986416
783	-1.955384747
784	-1.957178126
785	-1.958027071
786	-1.959222862
787	-1.959386953
788	-1.95982688
789	-1.961229049
790	-1.961460557
791	-1.962692172
792	-1.963201035
793	-1.963832279
794	-1.964625845
795	-1.966185574
796	-1.966616911
797	-1.966910522
798	-1.967270615
799	-1.967854316
800	-1.968164533
801	-1.969483948
802	-1.969867817
803	-1.971063474
804	-1.97159041
805	-1.971748283
806	-1.972188854
807	-1.972659126
808	-1.972940682
809	-1.973812912
810	-1.974642099
811	-1.975082269
812	-1.975214833
813	-1.975709797
814	-1.976318793
815	-1.976622804
816	-1.978046319
817	-1.978472947
818	-1.979871094
819	-1.981033426
820	-1.981554209
821	-1.9821586
822	-1.983328394
823	-1.984824457
824	-1.985387963
825	-1.986155522
826	-1.986529083
827	-1.986613616
828	-1.988006436
829	-1.988273598
830	-1.989996412
831	-1.991803104
832	-1.992291097
833	-1.992990592
834	-1.994296195
835	-1.993939232
836	-1.995778949
837	-1.996951325
838	-1.997639597
839	-1.998189305
840	-1.998641218
841	-2.000944167
842	-2.003141945
843	-2.004781212
844	-2.005259206
845	-2.006897855
846	-2.00771992
847	-2.008529109
848	-2.010338924
849	-2.011202538
850	-2.01196918
851	-2.012998771
852	-2.01451673
853	-2.015867124
854	-2.017058322
855	-2.018350333
856	-2.018761665
857	-2.019605947
858	-2.020681806
859	-2.022201585
860	-2.022403756
861	-2.022902866
862	-2.023795809
863	-2.025274953
864	-2.025222449
865	-2.026144298
866	-2.027159454
867	-2.02792424
868	-2.028459484
869	-2.028214854
870	-2.029353962
871	-2.030077877
872	-2.029970247
873	-2.030336055
874	-2.031692026
875	-2.033951785
876	-2.035031818
877	-2.036548175
878	-2.037457952
879	-2.037723069
880	-2.039124355
881	-2.039627672
882	-2.039930457
883	-2.040707004
884	-2.040873192
885	-2.042479595
886	-2.042535608
887	-2.042955136
888	-2.043257384
889	-2.044199148
890	-2.045059074
891	-2.045721911
892	-2.046778248
893	-2.048216441
894	-2.048643267
895	-2.049902678
896	-2.050240777
897	-2.050979538
898	-2.051375277
899	-2.052009638
900	-2.052336947
901	-2.053044755
902	-2.053328587
903	-2.054668937
904	-2.055956924
905	-2.056831474
906	-2.057169223
907	-2.058527191
908	-2.059076099
909	-2.060208675
910	-2.061244367
911	-2.06238849
912	-2.063016059
913	-2.064981807
914	-2.066468119
915	-2.066772038
916	-2.069143239
917	-2.069778399
918	-2.07031825
919	-2.070749192
920	-2.070938757
921	-2.071442971
922	-2.072443123
923	-2.072608061
924	-2.072670521
925	-2.073314
926	-2.073962667
927	-2.073724566
928	-2.075127335
929	-2.075745624
930	-2.077114605
931	-2.077738213
932	-2.079510171
933	-2.079962432
934	-2.080170826
935	-2.08052482
936	-2.081053698
937	-2.081704052
938	-2.082096642
939	-2.083246293
940	-2.085434313
941	-2.085563585
942	-2.086029796
943	-2.086975975
944	-2.088038584
945	-2.088686835
946	-2.088942231
947	-2.089659716
948	-2.089384521
949	-2.090043286
950	-2.090215719
951	-2.090546426
952	-2.090633628
953	-2.090483582
954	-2.09072315
955	-2.090507552
956	-2.090350438
957	-2.090594386
958	-2.090524657
959	-2.090833112
960	-2.09066488
961	-2.09088035
962	-2.09110945
963	-2.091215525
964	-2.091370111
965	-2.091281941
966	-2.091239819
967	-2.091100826
968	-2.091339669
969	-2.091262189
970	-2.091265847
971	-2.091550287
972	-2.091525849
973	-2.091806975
974	-2.092191083
975	-2.092377567
976	-2.092515369
977	-2.092656985
978	-2.092874412
979	-2.093360426
980	-2.093709916
981	-2.094459053
982	-2.094525779
983	-2.094813661
984	-2.094973367
985	-2.094970499
986	-2.095447655
987	-2.095489796
988	-2.095502375
989	-2.095595755
990	-2.095663735
991	-2.095988029
992	-2.096144164
993	-2.09645876
994	-2.096624618
995	-2.097820591
996	-2.099165561
997	-2.099959673
998	-2.100965836
999	-2.101200127
