iter	Passed	Remaining
622	13796	8349
623	13820	8327
624	13843	8305
625	13863	8282
626	13885	8260
627	13906	8237
628	13927	8214
629	13948	8192
630	13970	8169
631	13992	8147
632	14013	8124
633	14036	8102
634	14057	8080
635	14078	8057
636	14100	8035
637	14120	8011
638	14142	7989
639	14162	7966
640	14184	7944
641	14206	7922
642	14228	7900
643	14251	7877
644	14272	7855
645	14292	7832
646	14314	7809
647	14336	7787
648	14357	7764
649	14379	7742
650	14400	7720
651	14421	7697
652	14444	7675
653	14465	7653
654	14485	7629
655	14507	7607
656	14527	7584
657	14547	7561
658	14568	7538
659	14589	7516
660	14610	7493
661	14631	7470
662	14653	7448
663	14675	7425
664	14695	7402
665	14717	7380
666	14739	7358
667	14759	7335
668	14780	7313
669	14802	7290
670	14823	7268
671	14846	7246
672	14868	7224
673	14891	7202
674	14914	7180
675	14936	7158
676	14958	7136
677	14979	7114
678	15001	7092
679	15023	7069
680	15043	7046
681	15064	7024
682	15085	7001
683	15108	6979
684	15129	6957
685	15149	6934
686	15171	6912
687	15191	6889
688	15213	6866
689	15235	6844
690	15255	6821
691	15275	6798
692	15296	6776
693	15318	6754
694	15341	6732
695	15364	6710
696	15386	6688
697	15409	6666
698	15431	6644
699	15453	6623
700	15475	6600
701	15497	6578
702	15519	6556
703	15541	6534
704	15566	6513
705	15592	6493
706	15617	6472
707	15641	6450
708	15666	6430
709	15691	6409
710	15715	6387
711	15737	6365
712	15760	6343
713	15781	6321
714	15803	6299
715	15824	6276
716	15846	6254
717	15868	6232
718	15889	6209
719	15911	6187
720	15933	6165
721	15955	6143
722	15976	6121
723	15998	6099
724	16021	6076
725	16042	6054
726	16065	6032
727	16087	6010
728	16108	5988
729	16129	5965
730	16157	5945
731	16180	5924
732	16202	5901
733	16225	5880
734	16247	5857
735	16269	5835
736	16291	5813
737	16313	5791
738	16335	5769
739	16356	5746
740	16378	5724
741	16398	5702
742	16420	5679
743	16442	5657
744	16462	5634
745	16482	5611
746	16503	5589
747	16523	5566
748	16544	5544
749	16565	5521
750	16589	5500
751	16611	5478
752	16634	5456
753	16654	5433
754	16676	5411
755	16697	5389
756	16720	5367
757	16740	5344
758	16762	5322
759	16783	5300
760	16804	5277
761	16826	5255
762	16847	5233
763	16867	5210
764	16888	5188
765	16910	5165
766	16932	5143
767	16952	5121
768	16974	5099
769	16997	5077
770	17018	5054
771	17040	5032
772	17060	5009
773	17082	4987
774	17102	4965
775	17124	4943
776	17145	4920
777	17166	4898
778	17187	4876
779	17208	4853
